,date,sentiment
1251,20140818,0.5
1252,20140819,0.5
1170,20140820,0.5
1169,20140821,0.5
1168,20140822,0.2
1167,20140825,0.4
1166,20140826,0.7
1165,20140827,0.5
1172,20140828,0.5
1171,20140829,0.1
1458,20140902,0.4
1459,20140903,0.6
1456,20140904,0.5
1457,20140905,0.85
1460,20140908,0.5
1461,20140909,0.5
56,20140910,0.5
55,20140911,0.566666666667
54,20140912,0.5
53,20140915,0.566666666667
52,20140916,0.5
51,20140917,0.7
419,20140918,0.3
58,20140919,0.55
182,20140922,0.9
183,20140923,0.5
185,20140924,0.5
186,20140925,0.8
184,20140926,0.5
181,20140929,0.48
294,20140930,0.7
917,20141001,0.2
915,20141002,0.525
916,20141003,0.5
918,20141006,0.72
919,20141007,0.4
913,20141008,0.5
914,20141009,1.0
1032,20141010,0.3
1033,20141013,0.6
1029,20141014,0.3
1028,20141015,0.5
1031,20141016,0.5
1030,20141017,0.5
665,20141020,0.3
666,20141021,0.6
667,20141022,0.5
668,20141023,0.5
662,20141024,0.5
664,20141027,0.5
671,20141028,0.7
944,20141029,0.5
1368,20141030,0.5
68,20141031,0.7
806,20141103,0.6
810,20141104,0.7
809,20141105,0.5
808,20141106,0.45
807,20141107,0.55
1024,20141110,0.6
1025,20141111,0.5
679,20141112,0.44
680,20141113,0.425
681,20141114,0.5
1034,20141117,0.7
685,20141118,0.5
686,20141119,0.6
1001,20141120,0.6
1000,20141121,0.5
1003,20141124,0.475
1002,20141125,0.433333333333
1004,20141126,0.5
999,20141128,0.5
1149,20141201,0.5
1150,20141202,0.7
1151,20141203,0.5
1152,20141204,0.35
1153,20141205,0.5
1146,20141208,0.8
1147,20141209,0.6
1230,20141210,0.533333333333
1229,20141211,0.533333333333
1228,20141212,0.5
1233,20141215,0.6
1232,20141216,0.5
1231,20141217,0.5
1227,20141218,0.4
1226,20141219,0.2
1325,20141222,0.5
1326,20141223,0.5
1324,20141224,0.5
1323,20141226,0.5
1322,20141229,0.7
1434,20141230,0.5
1433,20141231,0.7
891,20150102,0.7
888,20150105,0.5
890,20150106,0.5
889,20150107,0.5
887,20150108,1.1
886,20150109,0.5
801,20150112,0.6
802,20150113,0.5
804,20150114,0.6
805,20150115,0.6
803,20150116,0.5
684,20150120,0.5
683,20150121,0.5
682,20150122,0.5
323,20150123,0.5
678,20150126,0.466666666667
677,20150127,0.5
691,20150128,0.266666666667
690,20150129,0.65
592,20150130,0.5
768,20150202,0.5
769,20150203,0.466666666667
766,20150204,0.333333333333
767,20150205,0.5
765,20150206,0.475
770,20150209,0.6
863,20150210,0.566666666667
862,20150211,0.5
865,20150212,0.5
864,20150213,0.7
866,20150217,0.5
861,20150218,0.6
860,20150219,0.4
570,20150220,0.3
571,20150223,0.5
572,20150224,0.55
573,20150225,0.7
574,20150226,0.7
575,20150227,0.466666666667
641,20150302,0.675
640,20150303,0.5
639,20150304,0.5
638,20150305,0.5
637,20150306,0.7
636,20150309,0.5
548,20150310,0.8
549,20150311,0.5
550,20150312,0.5
551,20150313,0.7
546,20150316,0.5
547,20150317,0.5
543,20150318,0.7
544,20150319,0.5
849,20150320,0.5
850,20150323,0.3
846,20150324,0.5
845,20150325,0.7
848,20150326,0.5
847,20150327,0.5
743,20150330,0.5
744,20150331,0.5
372,20150401,0.5
373,20150402,0.5
374,20150406,0.5
375,20150407,0.5
376,20150408,0.45
377,20150409,0.5
489,20150410,0.15
488,20150413,0.5
493,20150414,0.55
492,20150415,0.466666666667
491,20150416,0.5
490,20150417,0.5
594,20150420,0.5
595,20150421,0.5
387,20150422,0.566666666667
593,20150423,0.7
591,20150424,0.5
590,20150427,0.5
405,20150428,0.5
